t1A2c1, t1A2c1, t1A2c2, t1A2c2, t1A2c3, t1A2c3, t1A2c4, t1A2c4, t1A2c6, t1A2c6, t1B2c1, t1B2c1, t1B2c2, t1B2c2, t1B2c3, t1B2c3, t1B2c4, t1B2c4, t1B2c6, t1B2c6, t1C2c1, t1C2c1, t1C2c2, t1C2c2, t1C2c3, t1C2c3, t1C2c4, t1C2c4, t1C2c6, t1C2c6, t1D2c1, t1D2c1, t1D2c2, t1D2c2, t1D2c3, t1D2c3, t1D2c4, t1D2c4, t1D2c6, t1D2c6, t1E2c1, t1E2c1, t1E2c2, t1E2c2, t1E2c3, t1E2c3, t1E2c5, t1E2c5, t1E2c6, t1E2c6, t1F2c1, t1F2c1, t1F2c2, t1F2c2, t1F2c3, t1F2c3, t1F2c5, t1F2c5, t1F2c6, t1F2c6, t1G2c1, t1G2c1, t1G2c2, t1G2c2, t1G2c3, t1G2c3, t1G2c5, t1G2c5, t1G2c6, t1G2c6, t1H2c1, t1H2c1, t1H2c2, t1H2c2, t1H2c3, t1H2c3, t1H2c5, t1H2c5, t1H2c6, t1H2c6, 
Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, 
p1A6, TnIC, p1A6, TnIC, p1A7, TnIC, p1A8, TnIC, p1A6, TnIC, p1B6, TnIC, p1B6, TnIC, p1B7, TnIC, p1B8, TnIC, p1B6, TnIC, p1C6, TnIC, p1C6, TnIC, p1C7, TnIC, p1C8, TnIC, p1C6, TnIC, p1D6, TnIC, p1D6, TnIC, p1D7, TnIC, p1D8, TnIC, p1D6, TnIC, p1E6, TnIC, p1E6, TnIC, p1E7, TnIC, p1E9, TnIC, p1E6, TnIC, p1F6, TnIC, p1F6, TnIC, p1F7, TnIC, p1F9, TnIC, p1F6, TnIC, p1G6, TnIC, p1G6, TnIC, p1G7, TnIC, p1G9, TnIC, p1G6, TnIC, p1H6, TnIC, p1H6, TnIC, p1H7, TnIC, p1H9, TnIC, p1H6, TnIC, 
X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, 
1221.60, 0.01013287, 2889.40, -0.01215181, 4570.39, 0.00187165, 6232.42, -0.02517127, 9567.86, -0.02274557, 1221.60, -0.01678474, 2889.40, -0.04516789, 4570.39, -0.03498282, 6232.42, -0.00530068, 9567.86, -0.04683141, 1221.60, -0.02383722, 2889.40, -0.04300062, 4570.39, -0.03856038, 6232.42, -0.01953775, 9567.86, -0.04043925, 1221.60, -0.03164896, 2889.40, -0.0471574, 4570.39, -0.0260897, 6232.42, -0.02538602, 9567.86, -0.05039943, 1221.60, -0.01025184, 2889.40, -0.0350995, 4570.39, 0.01576909, 7900.30, 0.07532796, 9567.86, -0.04789155, 1221.60, 0.02019501, 2889.40, -0.00291422, 4570.39, 0.0169892, 7900.30, 0.06274279, 9567.86, -0.00195002, 1221.60, -0.00371042, 2889.40, -0.0264886, 4570.39, 0.00749684, 7900.30, 0.03057715, 9567.86, -0.04155728, 1221.60, 0.01645392, 2889.40, 0.00098617, 4570.39, 0.00860189, 7900.30, 0.02078536, 9567.86, 0.00083604, 
1221.80, 0.01063813, 2889.60, -0.01219016, 4570.59, 0.00166885, 6232.62, -0.0268795, 9568.06, -0.02359319, 1221.80, -0.01749335, 2889.60, -0.0451271, 4570.59, -0.03675621, 6232.62, -0.00495378, 9568.06, -0.04730229, 1221.80, -0.02416753, 2889.60, -0.0434818, 4570.59, -0.03987059, 6232.62, -0.01963519, 9568.06, -0.04140202, 1221.80, -0.03315403, 2889.60, -0.04819709, 4570.59, -0.02688123, 6232.62, -0.02619299, 9568.06, -0.05196161, 1221.80, -0.01236152, 2889.60, -0.03701533, 4570.59, 0.01603088, 7900.50, 0.0790225, 9568.06, -0.05055521, 1221.80, 0.01948191, 2889.60, -0.00325131, 4570.59, 0.017127, 7900.50, 0.06556726, 9568.06, -0.00222319, 1221.80, -0.00507305, 2889.60, -0.02698627, 4570.59, 0.00747052, 7900.50, 0.03225258, 9568.06, -0.04358068, 1221.80, 0.01667348, 2889.60, 0.00235733, 4570.59, 0.00903356, 7900.50, 0.0223377, 9568.06, 0.00126967, 
1222.00, 0.01156543, 2889.80, -0.01154093, 4570.79, 0.00156785, 6232.82, -0.02793494, 9568.26, -0.0237564, 1222.00, -0.01793155, 2889.80, -0.04523125, 4570.79, -0.0377653, 6232.82, -0.00436651, 9568.26, -0.04747119, 1222.00, -0.02429815, 2889.80, -0.04372305, 4570.79, -0.04074643, 6232.82, -0.01988507, 9568.26, -0.04144319, 1222.00, -0.03373667, 2889.80, -0.04897183, 4570.79, -0.02752458, 6232.82, -0.02676014, 9568.26, -0.05269318, 1222.00, -0.01377147, 2889.80, -0.03813322, 4570.79, 0.01670287, 7900.70, 0.08236975, 9568.26, -0.05193039, 1222.00, 0.01936043, 2889.80, -0.00324025, 4570.79, 0.01773903, 7900.70, 0.06786158, 9568.26, -0.00193495, 1222.00, -0.00598143, 2889.80, -0.02703774, 4570.79, 0.00762966, 7900.70, 0.03403794, 9568.26, -0.04462471, 1222.00, 0.01665164, 2889.80, 0.00323821, 4570.79, 0.00895333, 7900.70, 0.02299806, 9568.26, 0.00093851, 
1222.20, 0.01278504, 2890.00, -0.01066921, 4570.99, 0.00155299, 6233.02, -0.02820415, 9568.46, -0.02270516, 1222.20, -0.01740146, 2890.00, -0.04463308, 4570.99, -0.03799029, 6233.02, -0.00366684, 9568.46, -0.04684343, 1222.20, -0.023665, 2890.00, -0.04327199, 4570.99, -0.04140528, 6233.02, -0.02025802, 9568.46, -0.04068252, 1222.20, -0.03335188, 2890.00, -0.04880345, 4570.99, -0.02746054, 6233.02, -0.02669492, 9568.46, -0.05290593, 1222.20, -0.01422438, 2890.00, -0.03838154, 4570.99, 0.01683375, 7900.90, 0.08468123, 9568.46, -0.05280766, 1222.20, 0.01918411, 2890.00, -0.00326747, 4570.99, 0.0185142, 7900.90, 0.06969392, 9568.46, -0.00191061, 1222.20, -0.00572194, 2890.00, -0.02668026, 4570.99, 0.00877155, 7900.90, 0.03603185, 9568.46, -0.04480304, 1222.20, 0.01643479, 2890.00, 0.00370356, 4570.99, 0.00884099, 7900.90, 0.02335172, 9568.46, 0.00067802, 
1222.40, 0.01445672, 2890.20, -0.00878791, 4571.19, 0.0016582, 6233.22, -0.02777627, 9568.66, -0.02130639, 1222.40, -0.01631281, 2890.20, -0.04326134, 4571.19, -0.0375642, 6233.22, -0.00343687, 9568.66, -0.04568579, 1222.40, -0.02193932, 2890.20, -0.04201057, 4571.19, -0.04112675, 6233.22, -0.02026537, 9568.66, -0.03941071, 1222.40, -0.03180614, 2890.20, -0.04754936, 4571.19, -0.0268788, 6233.22, -0.02613842, 9568.66, -0.05196901, 1222.40, -0.01394385, 2890.20, -0.03834821, 4571.19, 0.0167299, 7901.10, 0.08576969, 9568.66, -0.05289681, 1222.40, 0.01949239, 2890.20, -0.00289128, 4571.19, 0.01937491, 7901.10, 0.07082132, 9568.66, -0.00168444, 1222.40, -0.00517693, 2890.20, -0.02631204, 4571.19, 0.0096624, 7901.10, 0.0372461, 9568.66, -0.04416464, 1222.40, 0.01592802, 2890.20, 0.0036052, 4571.19, 0.00784002, 7901.10, 0.02316002, 9568.66, 0.00066095, 
1222.60, 0.01633284, 2890.40, -0.00686686, 4571.39, 0.00203021, 6233.42, -0.0268098, 9568.86, -0.01958971, 1222.60, -0.01525154, 2890.40, -0.04191918, 4571.39, -0.03809869, 6233.42, -0.00373538, 9568.86, -0.04477093, 1222.60, -0.01981578, 2890.40, -0.04058726, 4571.39, -0.04052791, 6233.42, -0.01948738, 9568.86, -0.03843656, 1222.60, -0.03168049, 2890.40, -0.04728274, 4571.39, -0.02724403, 6233.42, -0.02636182, 9568.86, -0.05153134, 1222.60, -0.01346668, 2890.40, -0.03796994, 4571.39, 0.01683731, 7901.30, 0.08630338, 9568.86, -0.05303045, 1222.60, 0.02036686, 2890.40, -0.00276925, 4571.39, 0.02022744, 7901.30, 0.07234107, 9568.86, -0.00086509, 1222.60, -0.00464412, 2890.40, -0.02593727, 4571.39, 0.01029738, 7901.30, 0.03898336, 9568.86, -0.04289096, 1222.60, 0.0158128, 2890.40, 0.00343727, 4571.39, 0.00853754, 7901.30, 0.02349371, 9568.86, 0.00047151, 
1222.80, 0.01805177, 2890.60, -0.0049605, 4571.59, 0.00189096, 6233.62, -0.02626802, 9569.06, -0.01817345, 1222.80, -0.01394406, 2890.60, -0.04037293, 4571.59, -0.03777298, 6233.62, -0.00333161, 9569.06, -0.04327663, 1222.80, -0.01799938, 2890.60, -0.03892664, 4571.59, -0.04015717, 6233.62, -0.01883217, 9569.06, -0.03689168, 1222.80, -0.03117423, 2890.60, -0.04697614, 4571.59, -0.02780121, 6233.62, -0.02667333, 9569.06, -0.05103443, 1222.80, -0.01304344, 2890.60, -0.0373806, 4571.59, 0.01730869, 7901.50, 0.08766419, 9569.06, -0.05258086, 1222.80, 0.02048172, 2890.60, -0.00288023, 4571.59, 0.02030311, 7901.50, 0.07293881, 9569.06, -0.00078671, 1222.80, -0.00427589, 2890.60, -0.02560713, 4571.59, 0.01134191, 7901.50, 0.04088459, 9569.06, -0.04193146, 1222.80, 0.01541196, 2890.60, 0.00300699, 4571.59, 0.0083803, 7901.50, 0.02366411, 9569.06, 0.00037238, 
1223.00, 0.01962732, 2890.80, -0.00339943, 4571.79, 0.00184219, 6233.82, -0.02525161, 9569.26, -0.01663661, 1223.00, -0.01304837, 2890.80, -0.03918314, 4571.79, -0.03785543, 6233.82, -0.00283951, 9569.26, -0.04272805, 1223.00, -0.01636993, 2890.80, -0.03743561, 4571.79, -0.04010594, 6233.82, -0.01838026, 9569.26, -0.03538058, 1223.00, -0.03014381, 2890.80, -0.0459557, 4571.79, -0.02790032, 6233.82, -0.02604088, 9569.26, -0.05016527, 1223.00, -0.01264873, 2890.80, -0.03739213, 4571.79, 0.01799351, 7901.70, 0.08898048, 9569.26, -0.05233743, 1223.00, 0.02050195, 2890.80, -0.00297432, 4571.79, 0.02087279, 7901.70, 0.07389521, 9569.26, -0.00035524, 1223.00, -0.00383751, 2890.80, -0.02545111, 4571.79, 0.01193039, 7901.70, 0.04218168, 9569.26, -0.04188702, 1223.00, 0.01507908, 2890.80, 0.00317006, 4571.79, 0.00890114, 7901.70, 0.02408112, 9569.26, 0.00026979, 
1223.20, 0.0211714, 2891.00, -0.00144655, 4571.99, 0.00227945, 6234.02, -0.02415406, 9569.46, -0.01470605, 1223.20, -0.01175347, 2891.00, -0.03791588, 4571.99, -0.03791005, 6234.02, -0.00220147, 9569.46, -0.04160352, 1223.20, -0.01535385, 2891.00, -0.03659718, 4571.99, -0.03999419, 6234.02, -0.01822958, 9569.46, -0.03397221, 1223.20, -0.02899989, 2891.00, -0.04521401, 4571.99, -0.02761946, 6234.02, -0.02548529, 9569.46, -0.04940366, 1223.20, -0.01245022, 2891.00, -0.03739899, 4571.99, 0.01829876, 7901.90, 0.09023599, 9569.46, -0.0526424, 1223.20, 0.02021846, 2891.00, -0.00312058, 4571.99, 0.02135452, 7901.90, 0.07454472, 9569.46, 0.00012394, 1223.20, -0.00290828, 2891.00, -0.02468368, 4571.99, 0.01283243, 7901.90, 0.04356233, 9569.46, -0.04133156, 1223.20, 0.01580122, 2891.00, 0.00336976, 4571.99, 0.00965888, 7901.90, 0.02541473, 9569.46, 0.00058492, 
1223.40, 0.02312758, 2891.20, 0.00086417, 4572.19, 0.00308847, 6234.22, -0.02309349, 9569.66, -0.01267373, 1223.40, -0.0105053, 2891.20, -0.03732413, 4572.19, -0.03827233, 6234.22, -0.0026281, 9569.66, -0.04079089, 1223.40, -0.01368975, 2891.20, -0.0352492, 4572.19, -0.03960748, 6234.22, -0.01789514, 9569.66, -0.03224203, 1223.40, -0.02832254, 2891.20, -0.04471287, 4572.19, -0.0277636, 6234.22, -0.02579681, 9569.66, -0.04868899, 1223.40, -0.01258978, 2891.20, -0.03684996, 4572.19, 0.01880891, 7902.10, 0.09184484, 9569.66, -0.05261513, 1223.40, 0.0205715, 2891.20, -0.00318605, 4572.19, 0.02175301, 7902.10, 0.07561386, 9569.66, 0.00012813, 1223.40, -0.00199698, 2891.20, -0.02412124, 4572.19, 0.014122, 7902.10, 0.04509854, 9569.66, -0.04069689, 1223.40, 0.01599568, 2891.20, 0.00325008, 4572.19, 0.00951362, 7902.10, 0.02585419, 9569.66, 0.00079366, 
