t1A2c1, t1A2c1, t1A2c2, t1A2c2, t1A2c3, t1A2c3, t1A2c4, t1A2c4, t1A2c6, t1A2c6, t1B2c1, t1B2c1, t1B2c2, t1B2c2, t1B2c3, t1B2c3, t1B2c4, t1B2c4, t1B2c6, t1B2c6, t1C2c1, t1C2c1, t1C2c2, t1C2c2, t1C2c3, t1C2c3, t1C2c4, t1C2c4, t1C2c6, t1C2c6, t1D2c1, t1D2c1, t1D2c2, t1D2c2, t1D2c3, t1D2c3, t1D2c4, t1D2c4, t1D2c6, t1D2c6, t1E2c1, t1E2c1, t1E2c2, t1E2c2, t1E2c3, t1E2c3, t1E2c5, t1E2c5, t1E2c6, t1E2c6, t1F2c1, t1F2c1, t1F2c2, t1F2c2, t1F2c3, t1F2c3, t1F2c5, t1F2c5, t1F2c6, t1F2c6, t1G2c1, t1G2c1, t1G2c2, t1G2c2, t1G2c3, t1G2c3, t1G2c5, t1G2c5, t1G2c6, t1G2c6, t1H2c1, t1H2c1, t1H2c2, t1H2c2, t1H2c3, t1H2c3, t1H2c5, t1H2c5, t1H2c6, t1H2c6, 
Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, 
p1A6, TnIC, p1A6, TnIC, p1A7, TnIC, p1A8, TnIC, p1A6, TnIC, p1B6, TnIC, p1B6, TnIC, p1B7, TnIC, p1B8, TnIC, p1B6, TnIC, p1C6, TnIC, p1C6, TnIC, p1C7, TnIC, p1C8, TnIC, p1C6, TnIC, p1D6, TnIC, p1D6, TnIC, p1D7, TnIC, p1D8, TnIC, p1D6, TnIC, p1E6, TnIC, p1E6, TnIC, p1E7, TnIC, p1E9, TnIC, p1E6, TnIC, p1F6, TnIC, p1F6, TnIC, p1F7, TnIC, p1F9, TnIC, p1F6, TnIC, p1G6, TnIC, p1G6, TnIC, p1G7, TnIC, p1G9, TnIC, p1G6, TnIC, p1H6, TnIC, p1H6, TnIC, p1H7, TnIC, p1H9, TnIC, p1H6, TnIC, 
X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, 
1277.80, 0.23557827, 2945.60, 0.20869951, 4626.59, 0.05546756, 6288.62, 0.10802809, 9624.06, 0.17558537, 1277.80, 0.12508608, 2945.60, 0.09582978, 4626.59, 0.00357474, 6288.62, 0.09256558, 9624.06, 0.07670032, 1277.80, 0.15191413, 2945.60, 0.12926537, 4626.59, 0.00221768, 6288.62, 0.0886042, 9624.06, 0.11376844, 1277.80, 0.11514636, 2945.60, 0.09939574, 4626.59, -0.00831367, 6288.62, 0.02306754, 9624.06, 0.1020976, 1277.80, 0.03951997, 2945.60, 0.01706811, 4626.59, 0.16247718, 7956.50, 0.32193547, 9624.06, 0.00291553, 1277.80, 0.05688757, 2945.60, 0.0334175, 4626.59, 0.11182148, 7956.50, 0.19568116, 9624.06, 0.0368251, 1277.80, 0.04025018, 2945.60, 0.01853154, 4626.59, 0.12491517, 7956.50, 0.21281592, 9624.06, 0.00236936, 1277.80, 0.03483418, 2945.60, 0.01933409, 4626.59, 0.06913364, 7956.50, 0.1953619, 9624.06, 0.01849338, 
1278.00, 0.23571985, 2945.80, 0.20888561, 4626.79, 0.05553308, 6288.82, 0.10820523, 9624.26, 0.17551171, 1278.00, 0.12499254, 2945.80, 0.09604334, 4626.79, 0.0037801, 6288.82, 0.09270405, 9624.26, 0.07648915, 1278.00, 0.1517231, 2945.80, 0.12912697, 4626.79, 0.00221131, 6288.82, 0.08851465, 9624.26, 0.11404058, 1278.00, 0.1156041, 2945.80, 0.10047031, 4626.79, -0.00861266, 6288.82, 0.02326246, 9624.26, 0.10255876, 1278.00, 0.03957799, 2945.80, 0.01707914, 4626.79, 0.16309273, 7956.70, 0.32213513, 9624.26, 0.00320801, 1278.00, 0.05662455, 2945.80, 0.03354879, 4626.79, 0.1120466, 7956.70, 0.19555186, 9624.26, 0.03668449, 1278.00, 0.04004299, 2945.80, 0.01857229, 4626.79, 0.1251919, 7956.70, 0.21254003, 9624.26, 0.00210012, 1278.00, 0.03532677, 2945.80, 0.01928114, 4626.79, 0.06978419, 7956.70, 0.19591426, 9624.26, 0.01882104, 
1278.20, 0.23592252, 2946.00, 0.2090577, 4626.99, 0.05591824, 6289.02, 0.10811651, 9624.46, 0.17568277, 1278.20, 0.12533382, 2946.00, 0.09639713, 4626.99, 0.00437477, 6289.02, 0.09312881, 9624.46, 0.07694523, 1278.20, 0.1517224, 2946.00, 0.12932296, 4626.99, 0.00274758, 6289.02, 0.08866279, 9624.46, 0.1142637, 1278.20, 0.11637359, 2946.00, 0.10090684, 4626.99, -0.00865646, 6289.02, 0.02365537, 9624.46, 0.10289158, 1278.20, 0.04005889, 2946.00, 0.01726917, 4626.99, 0.16405281, 7956.90, 0.32261497, 9624.46, 0.00396171, 1278.20, 0.05620675, 2946.00, 0.03368479, 4626.99, 0.11207542, 7956.90, 0.19521359, 9624.46, 0.0362096, 1278.20, 0.03982457, 2946.00, 0.01890033, 4626.99, 0.12555091, 7956.90, 0.21285262, 9624.46, 0.00221635, 1278.20, 0.03520934, 2946.00, 0.01988358, 4626.99, 0.07096702, 7956.90, 0.19655743, 9624.46, 0.01874228, 
1278.40, 0.23589001, 2946.20, 0.20886051, 4627.19, 0.05584995, 6289.22, 0.10816047, 9624.66, 0.17539972, 1278.40, 0.1258793, 2946.20, 0.09658602, 4627.19, 0.00499489, 6289.22, 0.09338395, 9624.66, 0.07704518, 1278.40, 0.15155202, 2946.20, 0.12926498, 4627.19, 0.0032406, 6289.22, 0.08879453, 9624.66, 0.11413053, 1278.40, 0.11661668, 2946.20, 0.10172312, 4627.19, -0.00839613, 6289.22, 0.02374472, 9624.66, 0.1032682, 1278.40, 0.04005311, 2946.20, 0.01694311, 4627.19, 0.16422259, 7957.10, 0.32243463, 9624.66, 0.00415792, 1278.40, 0.05595587, 2946.20, 0.03379022, 4627.19, 0.11237136, 7957.10, 0.19484769, 9624.66, 0.03578297, 1278.40, 0.03937744, 2946.20, 0.01881584, 4627.19, 0.12545992, 7957.10, 0.21207086, 9624.66, 0.00247245, 1278.40, 0.03577305, 2946.20, 0.02016325, 4627.19, 0.07258905, 7957.10, 0.19789196, 9624.66, 0.01933311, 
1278.60, 0.23570943, 2946.40, 0.20864121, 4627.39, 0.05592232, 6289.42, 0.10850315, 9624.86, 0.17577567, 1278.60, 0.12644186, 2946.40, 0.09646073, 4627.39, 0.00528029, 6289.42, 0.09333134, 9624.86, 0.07701724, 1278.60, 0.15201009, 2946.40, 0.1300462, 4627.39, 0.00392354, 6289.42, 0.08910896, 9624.86, 0.114656, 1278.60, 0.11735789, 2946.40, 0.1029058, 4627.39, -0.00767971, 6289.42, 0.02469859, 9624.86, 0.10392625, 1278.60, 0.04016596, 2946.40, 0.01717662, 4627.39, 0.16495689, 7957.30, 0.32288735, 9624.86, 0.00451489, 1278.60, 0.05562629, 2946.40, 0.03373147, 4627.39, 0.11213646, 7957.30, 0.19468436, 9624.86, 0.03541332, 1278.60, 0.03974715, 2946.40, 0.01936773, 4627.39, 0.12622237, 7957.30, 0.21242779, 9624.86, 0.00274272, 1278.60, 0.03591586, 2946.40, 0.02008711, 4627.39, 0.07261375, 7957.30, 0.19909161, 9624.86, 0.01947866, 
1278.80, 0.23594454, 2946.60, 0.20846231, 4627.59, 0.05639128, 6289.62, 0.10842745, 9625.06, 0.17600743, 1278.80, 0.12677968, 2946.60, 0.09712406, 4627.59, 0.00575079, 6289.62, 0.09362478, 9625.06, 0.07680011, 1278.80, 0.15267759, 2946.60, 0.13078982, 4627.59, 0.00448306, 6289.62, 0.09010171, 9625.06, 0.11484662, 1278.80, 0.11778655, 2946.60, 0.10349641, 4627.59, -0.0077817, 6289.62, 0.02520182, 9625.06, 0.104482, 1278.80, 0.04036362, 2946.60, 0.01691883, 4627.59, 0.16535211, 7957.50, 0.32319566, 9625.06, 0.00512407, 1278.80, 0.05550846, 2946.60, 0.03390106, 4627.59, 0.11230087, 7957.50, 0.19490079, 9625.06, 0.03536119, 1278.80, 0.04008424, 2946.60, 0.01934353, 4627.59, 0.12664631, 7957.50, 0.21247799, 9625.06, 0.00273864, 1278.80, 0.0354972, 2946.60, 0.01966748, 4627.59, 0.07294213, 7957.50, 0.19935619, 9625.06, 0.01907909, 
1279.00, 0.23587211, 2946.80, 0.208637, 4627.79, 0.05643055, 6289.82, 0.10844825, 9625.26, 0.17634634, 1279.00, 0.12666223, 2946.80, 0.09730398, 4627.79, 0.00620253, 6289.82, 0.09387149, 9625.26, 0.07696687, 1279.00, 0.15259228, 2946.80, 0.13087938, 4627.79, 0.00449632, 6289.82, 0.09005759, 9625.26, 0.11468044, 1279.00, 0.11934224, 2946.80, 0.10497702, 4627.79, -0.00728364, 6289.82, 0.02617492, 9625.26, 0.10596743, 1279.00, 0.04078095, 2946.80, 0.01686329, 4627.79, 0.16602158, 7957.70, 0.3234393, 9625.26, 0.00561666, 1279.00, 0.05520211, 2946.80, 0.03394394, 4627.79, 0.11217137, 7957.70, 0.19475079, 9625.26, 0.03531908, 1279.00, 0.04010252, 2946.80, 0.01919328, 4627.79, 0.12663656, 7957.70, 0.21176936, 9625.26, 0.00222805, 1279.00, 0.03557062, 2946.80, 0.01965593, 4627.79, 0.07302131, 7957.70, 0.20007847, 9625.26, 0.01880596, 
1279.20, 0.23605183, 2947.00, 0.20867781, 4627.99, 0.05662735, 6290.02, 0.10828646, 9625.46, 0.1761596, 1279.20, 0.12630064, 2947.00, 0.09721446, 4627.99, 0.00682358, 6290.02, 0.09427895, 9625.46, 0.07685453, 1279.20, 0.15307899, 2947.00, 0.13134927, 4627.99, 0.0048863, 6290.02, 0.09049369, 9625.46, 0.11508941, 1279.20, 0.11985509, 2947.00, 0.10498297, 4627.99, -0.00769942, 6290.02, 0.02623908, 9625.46, 0.10576442, 1279.20, 0.04066277, 2947.00, 0.016126, 4627.99, 0.16648821, 7957.90, 0.32325758, 9625.46, 0.0053893, 1279.20, 0.05478598, 2947.00, 0.03372175, 4627.99, 0.11143052, 7957.90, 0.19407857, 9625.46, 0.03524951, 1279.20, 0.04019171, 2947.00, 0.01914668, 4627.99, 0.12747301, 7957.90, 0.21195881, 9625.46, 0.00227234, 1279.20, 0.03474628, 2947.00, 0.01937645, 4627.99, 0.07262526, 7957.90, 0.20081587, 9625.46, 0.01843041, 
1279.40, 0.23614101, 2947.20, 0.20819641, 4628.19, 0.05659017, 6290.22, 0.10816145, 9625.66, 0.17612344, 1279.40, 0.12609724, 2947.20, 0.09683611, 4628.19, 0.00663997, 6290.22, 0.09422664, 9625.66, 0.0764317, 1279.40, 0.15345179, 2947.20, 0.13191864, 4628.19, 0.00567425, 6290.22, 0.09148798, 9625.66, 0.11600114, 1279.40, 0.12057506, 2947.20, 0.10548832, 4628.19, -0.0073917, 6290.22, 0.02659049, 9625.66, 0.10631434, 1279.40, 0.04101235, 2947.20, 0.01669599, 4628.19, 0.1673545, 7958.10, 0.32454155, 9625.66, 0.00549375, 1279.40, 0.05454434, 2947.20, 0.03374889, 4628.19, 0.11113973, 7958.10, 0.19413382, 9625.66, 0.03505131, 1279.40, 0.0408169, 2947.20, 0.01976118, 4628.19, 0.12827415, 7958.10, 0.21214714, 9625.66, 0.00289668, 1279.40, 0.03467248, 2947.20, 0.01898065, 4628.19, 0.07248585, 7958.10, 0.20118382, 9625.66, 0.0180604, 
1279.60, 0.23685436, 2947.40, 0.20784073, 4628.39, 0.05674513, 6290.42, 0.1086376, 9625.86, 0.17650847, 1279.60, 0.1265082, 2947.40, 0.09699614, 4628.39, 0.00679136, 6290.42, 0.09456975, 9625.86, 0.07660607, 1279.60, 0.15346761, 2947.40, 0.13190656, 4628.39, 0.00577085, 6290.42, 0.0916833, 9625.86, 0.11592076, 1279.60, 0.12078252, 2947.40, 0.1054386, 4628.39, -0.00835789, 6290.42, 0.02664364, 9625.86, 0.10636925, 1279.60, 0.04163825, 2947.40, 0.01724834, 4628.39, 0.16789136, 7958.30, 0.32497409, 9625.86, 0.00569733, 1279.60, 0.05451313, 2947.40, 0.03421547, 4628.39, 0.11086408, 7958.30, 0.19412208, 9625.86, 0.03496877, 1279.60, 0.0410784, 2947.40, 0.02027543, 4628.39, 0.12860268, 7958.30, 0.21184291, 9625.86, 0.00325335, 1279.60, 0.03471298, 2947.40, 0.01845337, 4628.39, 0.07176462, 7958.30, 0.20146587, 9625.86, 0.01788731, 
1279.80, 0.23773194, 2947.60, 0.20783731, 4628.59, 0.0574813, 6290.62, 0.10924029, 9626.06, 0.1766251, 1279.80, 0.12676183, 2947.60, 0.09737532, 4628.59, 0.00750242, 6290.62, 0.0953066, 9626.06, 0.07686521, 1279.80, 0.15320252, 2947.60, 0.13172732, 4628.59, 0.0058479, 6290.62, 0.09241673, 9626.06, 0.1160429, 1279.80, 0.12187315, 2947.60, 0.10637042, 4628.59, -0.00795303, 6290.62, 0.02728919, 9626.06, 0.10712429, 1279.80, 0.04173535, 2947.60, 0.01770783, 4628.59, 0.16799643, 7958.50, 0.32501618, 9626.06, 0.00564263, 1279.80, 0.05498079, 2947.60, 0.0343829, 4628.59, 0.11109678, 7958.50, 0.19434014, 9626.06, 0.03525065, 1279.80, 0.04115757, 2947.60, 0.01988302, 4628.59, 0.12881798, 7958.50, 0.21202025, 9626.06, 0.00344008, 1279.80, 0.03445987, 2947.60, 0.01832472, 4628.59, 0.07141282, 7958.50, 0.20261156, 9626.06, 0.01861235, 
1280.00, 0.23814296, 2947.80, 0.20820367, 4628.79, 0.05799556, 6290.82, 0.11019432, 9626.26, 0.17709641, 1280.00, 0.12685847, 2947.80, 0.09741884, 4628.79, 0.00771476, 6290.82, 0.09572732, 9626.26, 0.07702304, 1280.00, 0.15345424, 2947.80, 0.13231924, 4628.79, 0.00621904, 6290.82, 0.09254124, 9626.26, 0.1162802, 1280.00, 0.1233969, 2947.80, 0.1072462, 4628.79, -0.0072458, 6290.82, 0.02814178, 9626.26, 0.1083162, 1280.00, 0.0414823, 2947.80, 0.01767386, 4628.79, 0.16815932, 7958.70, 0.32509599, 9626.26, 0.00538618, 1280.00, 0.05553467, 2947.80, 0.03450375, 4628.79, 0.11136708, 7958.70, 0.19427453, 9626.26, 0.03560581, 1280.00, 0.04144443, 2947.80, 0.02008671, 4628.79, 0.1291686, 7958.70, 0.21257698, 9626.26, 0.0035922, 1280.00, 0.03500944, 2947.80, 0.01917626, 4628.79, 0.0721374, 7958.70, 0.20374797, 9626.26, 0.01892387, 
1280.20, 0.23890859, 2948.00, 0.208972, 4628.99, 0.05829976, 6291.02, 0.11080729, 9626.46, 0.17757081, 1280.20, 0.1264227, 2948.00, 0.09772116, 4628.99, 0.00770896, 6291.02, 0.09592381, 9626.46, 0.07706235, 1280.20, 0.15393616, 2948.00, 0.13280783, 4628.99, 0.0066872, 6291.02, 0.09346899, 9626.46, 0.11688928, 1280.20, 0.12447596, 2948.00, 0.10768735, 4628.99, -0.00677406, 6291.02, 0.02859895, 9626.46, 0.10919585, 1280.20, 0.04223841, 2948.00, 0.01846905, 4628.99, 0.16909535, 7958.90, 0.32591614, 9626.46, 0.00576657, 1280.20, 0.05567242, 2948.00, 0.03478573, 4628.99, 0.11194552, 7958.90, 0.19452875, 9626.46, 0.03618078, 1280.20, 0.04100308, 2948.00, 0.01983671, 4628.99, 0.12922169, 7958.90, 0.21268832, 9626.46, 0.00310141, 1280.20, 0.03545311, 2948.00, 0.01965785, 4628.99, 0.07215976, 7958.90, 0.20432702, 9626.46, 0.01896875, 
1280.40, 0.23937422, 2948.20, 0.20915455, 4629.19, 0.05827628, 6291.22, 0.11123658, 9626.66, 0.1778909, 1280.40, 0.12546459, 2948.20, 0.09729793, 4629.19, 0.00712908, 6291.22, 0.09567709, 9626.66, 0.07612179, 1280.40, 0.15357709, 2948.20, 0.13254758, 4629.19, 0.00649716, 6291.22, 0.09341831, 9626.66, 0.11659183, 1280.40, 0.12506977, 2948.20, 0.10818104, 4629.19, -0.00598969, 6291.22, 0.02924203, 9626.66, 0.11025251, 1280.40, 0.04240076, 2948.20, 0.01852897, 4629.19, 0.16944243, 7959.10, 0.32600904, 9626.66, 0.00607626, 1280.40, 0.05572594, 2948.20, 0.03442523, 4629.19, 0.11179627, 7959.10, 0.19435676, 9626.66, 0.03633969, 1280.40, 0.04101782, 2948.20, 0.01985543, 4629.19, 0.12926003, 7959.10, 0.21325157, 9626.66, 0.00343675, 1280.40, 0.03573698, 2948.20, 0.01992278, 4629.19, 0.07219054, 7959.10, 0.20532968, 9626.66, 0.01942165, 
1280.60, 0.24018957, 2948.40, 0.21043911, 4629.39, 0.05849971, 6291.42, 0.11192122, 9626.86, 0.17883442, 1280.60, 0.12502669, 2948.40, 0.09671441, 4629.39, 0.00688199, 6291.42, 0.09576047, 9626.86, 0.07567473, 1280.60, 0.15342308, 2948.40, 0.13227385, 4629.39, 0.00607288, 6291.42, 0.09337412, 9626.86, 0.1163974, 1280.60, 0.12571982, 2948.40, 0.10873213, 4629.39, -0.00557871, 6291.42, 0.02978231, 9626.86, 0.11121109, 1280.60, 0.04295564, 2948.40, 0.01868753, 4629.39, 0.17010788, 7959.30, 0.32647036, 9626.86, 0.00645472, 1280.60, 0.05596611, 2948.40, 0.03444344, 4629.39, 0.11239125, 7959.30, 0.1942104, 9626.86, 0.03679845, 1280.60, 0.04148875, 2948.40, 0.01969201, 4629.39, 0.12986443, 7959.30, 0.21396577, 9626.86, 0.00356546, 1280.60, 0.03616275, 2948.40, 0.02026041, 4629.39, 0.0724097, 7959.30, 0.20572009, 9626.86, 0.01974182, 
1280.80, 0.24038887, 2948.60, 0.21132833, 4629.59, 0.05860576, 6291.62, 0.11230604, 9627.06, 0.17893874, 1280.80, 0.12512655, 2948.60, 0.09665041, 4629.59, 0.00728935, 6291.62, 0.09572906, 9627.06, 0.07554746, 1280.80, 0.15333118, 2948.60, 0.13196479, 4629.59, 0.00590106, 6291.62, 0.09353717, 9627.06, 0.116067, 1280.80, 0.12685813, 2948.60, 0.10918839, 4629.59, -0.00535957, 6291.62, 0.03014495, 9627.06, 0.11246212, 1280.80, 0.04310067, 2948.60, 0.01918422, 4629.59, 0.17034743, 7959.50, 0.32631509, 9627.06, 0.00621943, 1280.80, 0.05655115, 2948.60, 0.03453072, 4629.59, 0.11256275, 7959.50, 0.19418383, 9627.06, 0.03710982, 1280.80, 0.04197614, 2948.60, 0.01955291, 4629.59, 0.12992453, 7959.50, 0.2140838, 9627.06, 0.00386501, 1280.80, 0.03631717, 2948.60, 0.02011698, 4629.59, 0.07216328, 7959.50, 0.20650114, 9627.06, 0.0205165, 
1281.00, 0.24053022, 2948.80, 0.2120257, 4629.79, 0.0589983, 6291.82, 0.11293739, 9627.26, 0.17918604, 1281.00, 0.12557378, 2948.80, 0.09707284, 4629.79, 0.00760019, 6291.82, 0.0962884, 9627.26, 0.07591259, 1281.00, 0.15336334, 2948.80, 0.13193301, 4629.79, 0.00542004, 6291.82, 0.09359667, 9627.26, 0.11572024, 1281.00, 0.12778798, 2948.80, 0.10982995, 4629.79, -0.00513281, 6291.82, 0.03047366, 9627.26, 0.11346384, 1281.00, 0.04293685, 2948.80, 0.01951057, 4629.79, 0.17028594, 7959.70, 0.32636479, 9627.26, 0.00577913, 1281.00, 0.05761551, 2948.80, 0.0345054, 4629.79, 0.11259892, 7959.70, 0.19462723, 9627.26, 0.03754911, 1281.00, 0.04197032, 2948.80, 0.01976325, 4629.79, 0.13059528, 7959.70, 0.21438182, 9627.26, 0.00420365, 1281.00, 0.0366148, 2948.80, 0.02018824, 4629.79, 0.07245191, 7959.70, 0.20734397, 9627.26, 0.02138171, 
1281.20, 0.24065364, 2949.00, 0.21193429, 4629.99, 0.05877684, 6292.02, 0.11344274, 9627.46, 0.17929844, 1281.20, 0.12554739, 2949.00, 0.09747752, 4629.99, 0.00759681, 6292.02, 0.09685051, 9627.46, 0.07616497, 1281.20, 0.15369484, 2949.00, 0.13214921, 4629.99, 0.00543143, 6292.02, 0.09401841, 9627.46, 0.11619248, 1281.20, 0.12825589, 2949.00, 0.11013381, 4629.99, -0.00482222, 6292.02, 0.03006065, 9627.46, 0.11419391, 1281.20, 0.04343685, 2949.00, 0.02013233, 4629.99, 0.1705327, 7959.90, 0.3264776, 9627.46, 0.00551721, 1281.20, 0.05757982, 2949.00, 0.03446412, 4629.99, 0.11261585, 7959.90, 0.1947399, 9627.46, 0.03772552, 1281.20, 0.04247992, 2949.00, 0.01958887, 4629.99, 0.13077378, 7959.90, 0.21443758, 9627.46, 0.00508666, 1281.20, 0.03676221, 2949.00, 0.02037139, 4629.99, 0.07231934, 7959.90, 0.20780415, 9627.46, 0.02192748, 
1281.40, 0.24028943, 2949.20, 0.21178785, 4630.19, 0.05856155, 6292.22, 0.11328448, 9627.66, 0.17904641, 1281.40, 0.12459815, 2949.20, 0.09676316, 4630.19, 0.00746459, 6292.22, 0.09685137, 9627.66, 0.07566117, 1281.40, 0.15386727, 2949.20, 0.13209383, 4630.19, 0.00521119, 6292.22, 0.09419085, 9627.66, 0.11605065, 1281.40, 0.12890862, 2949.20, 0.11067874, 4630.19, -0.00478632, 6292.22, 0.02950023, 9627.66, 0.11423784, 1281.40, 0.04396603, 2949.20, 0.0205825, 4630.19, 0.17053995, 7960.10, 0.3268787, 9627.66, 0.00522153, 1281.40, 0.05770116, 2949.20, 0.03445039, 4630.19, 0.11261747, 7960.10, 0.19485143, 9627.66, 0.037556, 1281.40, 0.0426641, 2949.20, 0.01978085, 4630.19, 0.13063182, 7960.10, 0.2147269, 9627.66, 0.00523678, 1281.40, 0.03700214, 2949.20, 0.02125859, 4630.19, 0.07229669, 7960.10, 0.20855318, 9627.66, 0.02205536, 
1281.60, 0.24015706, 2949.40, 0.21205613, 4630.39, 0.05830784, 6292.42, 0.11324884, 9627.86, 0.17912619, 1281.60, 0.12407165, 2949.40, 0.09617599, 4630.39, 0.00718985, 6292.42, 0.09628938, 9627.86, 0.07528902, 1281.60, 0.15381963, 2949.40, 0.1317973, 4630.39, 0.00497684, 6292.42, 0.09427617, 9627.86, 0.11629622, 1281.60, 0.1293345, 2949.40, 0.11075336, 4630.39, -0.00463369, 6292.42, 0.02939145, 9627.86, 0.11440739, 1281.60, 0.04463606, 2949.40, 0.02146821, 4630.39, 0.17130507, 7960.30, 0.32679672, 9627.86, 0.00548775, 1281.60, 0.05802476, 2949.40, 0.03487857, 4630.39, 0.11312719, 7960.30, 0.19549938, 9627.86, 0.03790646, 1281.60, 0.04262476, 2949.40, 0.01967914, 4630.39, 0.1307373, 7960.30, 0.21528378, 9627.86, 0.00562823, 1281.60, 0.03692037, 2949.40, 0.0222743, 4630.39, 0.07274661, 7960.30, 0.20951318, 9627.86, 0.02237053, 
1281.80, 0.24026511, 2949.60, 0.21219037, 4630.59, 0.05821076, 6292.62, 0.11366888, 9628.06, 0.17905844, 1281.80, 0.12423342, 2949.60, 0.09669303, 4630.59, 0.00731797, 6292.62, 0.09672911, 9628.06, 0.07597958, 1281.80, 0.1540082, 2949.60, 0.1320401, 4630.59, 0.0055779, 6292.62, 0.09462293, 9628.06, 0.11666342, 1281.80, 0.12956074, 2949.60, 0.11077968, 4630.59, -0.0050997, 6292.62, 0.02924514, 9628.06, 0.11448308, 1281.80, 0.04461007, 2949.60, 0.02124138, 4630.59, 0.17201555, 7960.50, 0.3268397, 9628.06, 0.00556106, 1281.80, 0.05813335, 2949.60, 0.03501698, 4630.59, 0.11346411, 7960.50, 0.19561845, 9628.06, 0.03786575, 1281.80, 0.04284145, 2949.60, 0.01924046, 4630.59, 0.13061201, 7960.50, 0.21552419, 9628.06, 0.00581135, 1281.80, 0.03682461, 2949.60, 0.02196984, 4630.59, 0.07305631, 7960.50, 0.209947, 9628.06, 0.02197143, 
1282.00, 0.2406209, 2949.80, 0.21248437, 4630.79, 0.05900631, 6292.82, 0.11374551, 9628.26, 0.17955651, 1282.00, 0.12464198, 2949.80, 0.09732939, 4630.79, 0.00815685, 6292.82, 0.09689189, 9628.26, 0.07605393, 1282.00, 0.15392466, 2949.80, 0.13209998, 4630.79, 0.00577482, 6292.82, 0.095128, 9628.26, 0.11663891, 1282.00, 0.12991844, 2949.80, 0.11212639, 4630.79, -0.00522081, 6292.82, 0.02910374, 9628.26, 0.11512229, 1282.00, 0.04512055, 2949.80, 0.02121604, 4630.79, 0.17268973, 7960.70, 0.32719068, 9628.26, 0.00577199, 1282.00, 0.05826099, 2949.80, 0.03515194, 4630.79, 0.11429448, 7960.70, 0.19558611, 9628.26, 0.03809994, 1282.00, 0.04279818, 2949.80, 0.01991259, 4630.79, 0.13153085, 7960.70, 0.21619619, 9628.26, 0.00659599, 1282.00, 0.03636715, 2949.80, 0.02161704, 4630.79, 0.07326041, 7960.70, 0.2097803, 9628.26, 0.02169468, 
1282.20, 0.24100364, 2950.00, 0.21262431, 4630.99, 0.05966482, 6293.02, 0.11434482, 9628.46, 0.17997857, 1282.20, 0.1247417, 2950.00, 0.09749556, 4630.99, 0.00834195, 6293.02, 0.09709754, 9628.46, 0.07611099, 1282.20, 0.15434304, 2950.00, 0.13228324, 4630.99, 0.00614087, 6293.02, 0.09541783, 9628.46, 0.11630202, 1282.20, 0.13025051, 2950.00, 0.11269985, 4630.99, -0.00525689, 6293.02, 0.02885424, 9628.46, 0.11527362, 1282.20, 0.04546034, 2950.00, 0.02125373, 4630.99, 0.17312653, 7960.90, 0.32711983, 9628.46, 0.00621518, 1282.20, 0.0581605, 2950.00, 0.03525042, 4630.99, 0.11453534, 7960.90, 0.19527677, 9628.46, 0.03812088, 1282.20, 0.04318268, 2950.00, 0.01994575, 4630.99, 0.13181292, 7960.90, 0.21674761, 9628.46, 0.00719216, 1282.20, 0.03623531, 2950.00, 0.02204028, 4630.99, 0.07446184, 7960.90, 0.21085159, 9628.46, 0.0214954, 
